frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
1,,,,,,,1007,682,8,,1007.0000,682.0000,1002,616,4,,1002.0000,616.0000,757,574,6,,757.0000,574.0000,0.4450,-0.0900,0.0000,,0,
2,,,,,,,1007,682,7,,1007.0000,682.0000,,,,,,,757,574,6,,757.0000,574.0000,-0.7800,0.1200,0.0000,,0,
3,,,,,,,1006,681,6,,1006.5122,681.5122,1002,616,16,,1002.0000,616.0000,,,,,,,0.4426,-0.0876,0.0000,,0,
4,,,,,,,1006,678,8,,1006.3443,680.3607,,,,,,,,,,,,,,,,,0,
5,,,,,,,1006,672,7,,1006.2593,678.2963,,,,,,,,,,,,,,,,,0,
6,,,,,,,1006,663,7,,1006.2079,675.2673,1022,619,9,,1011.7561,617.4634,,,,,,,0.4898,-0.0637,0.0000,,0,
7,,,,,,,1007,655,6,,1006.3388,671.9174,1094,632,9,,1038.7213,622.2295,,,,,,,0.6253,-0.0707,0.0000,8.1399,0,
8,,,,,,,1008,650,7,,1006.5745,668.8085,,,,,,,757,573,5,,757.0000,573.5122,-0.7821,0.1884,0.0000,,0,
9,,,,,,,1010,650,6,,1007.0000,666.4720,1262,665,4,,1093.8519,632.7901,757,570,5,,757.0000,572.3607,0.9043,-0.0963,0.0000,,0,
10,,,,,,,1012,652,6,,1007.5525,664.8729,,,,,,,758,563,5,,757.2469,570.0494,-0.7760,0.2254,0.0000,,0,
11,,,,,,,1013,654,6,,1008.0945,663.7910,1486,715,6,,1171.5050,649.0693,759,555,6,,757.5941,567.0693,1.2980,-0.1643,0.0000,,0,
12,,,,,,,1015,656,6,,1008.7195,663.0860,,,,,,,758,547,8,,757.6612,563.7521,-0.7681,0.2658,0.0000,,0,
13,,,,,,,1016,658,6,,1009.3237,662.6639,,,,,,,754,542,4,,757.1418,560.6667,-0.7677,0.2833,0.0000,1.0526,0,
14,,,,,,,1017,659,6,,1009.9119,662.3831,1226,610,16,,1180.5124,642.6116,752,539,4,,756.5031,557.9752,1.3521,-0.1250,0.0000,,0,
15,,,,,,,1018,660,6,,1010.4875,662.2135,992,522,16,,1153.7730,625.5035,754,539,9,,756.2265,555.8785,1.2213,-0.0386,0.0000,9.4062,0,
16,,,,,,,1018,659,6,,1010.9867,662.0000,,,,,,,,,,,,,,,,,0,
17,,,,,,,1018,658,6,,1011.4237,661.7508,,,,,,,,,,,,,,,,,0,
18,,,,,,,1018,658,6,,1011.8094,661.5308,,,,,,,756,537,6,,756.2040,554.0000,-0.7599,0.3223,0.0000,,0,
19,,,,,,,1020,658,6,,1012.2632,661.3352,,,,,,,,,,,,,,,,,0,
20,,,,,,,1020,657,4,,1012.6693,661.1076,,,,,,,,,,,,,,,,,0,
21,1457,636,4,,1457.0000,636.0000,,,,,,,,,,,,,1161,477,5,,792.8371,547.0317,1.6492,0.4848,0.0000,,0,
22,,,,,,,1455,700,5,,1034.7307,663.0474,830,464,17,,1113.5528,605.4410,,,,,,,1.1414,0.0576,0.0000,,0,
23,1457,636,4,,1457.0000,636.0000,1728,726,5,,1067.6651,666.0380,735,433,17,,1071.7238,586.3867,,,,,,,3.0436,0.2881,0.0000,,0,
24,1457,636,4,,1457.0000,636.0000,1879,741,5,,1104.4603,669.4376,,,,,,,,,,,,,3.2073,-0.1272,0.0000,26.7810,0,
25,1457,635,4,,1457.0000,635.6721,1945,747,5,,1140.9262,672.8026,,,,,,,,,,,,,3.3896,-0.1424,0.0000,10.9776,0,
26,1457,635,4,,1457.0000,635.5062,1958,749,5,,1174.9002,675.9709,,,,,,,,,,,,,3.5595,-0.1574,0.0000,10.2319,0,
27,1457,635,4,,1457.0000,635.4059,1937,747,6,,1205.3234,678.8064,,,,,,,,,,,,,3.7116,-0.1711,0.0000,9.1638,0,
28,1456,635,4,,1456.8347,635.3388,1904,744,6,,1232.1440,681.3090,690,421,17,,1033.7413,569.9303,,,,,,,2.8529,0.3737,0.0000,,0,
29,1456,634,4,,1456.7163,635.1489,1867,740,6,,1255.6137,683.4787,,,,,,,,,,,,,3.9616,-0.1931,0.0000,,0,
30,1456,634,4,,1456.6273,635.0062,1834,737,5,,1276.2335,685.3868,,,,,,,,,,,,,4.0643,-0.2020,0.0000,6.1820,0,
31,1456,635,4,,1456.5580,635.0055,1807,735,5,,1294.5043,687.0947,793,468,4,,1011.9548,560.7059,996,510,4,,809.6971,543.9585,2.7426,0.4214,0.0000,,0,
32,1456,635,4,,1456.5025,635.0050,1785,733,6,,1310.8270,688.6223,873,506,6,,1000.4232,556.1660,,,,,,,2.6846,0.4441,0.0000,3.7335,0,
33,1456,635,4,,1456.4570,635.0045,1771,731,6,,1325.6473,689.9871,929,535,6,,994.9502,554.5441,1353,461,4,,851.3295,537.6015,2.6570,0.4523,0.0000,1.7256,0,
34,1456,635,4,,1456.4191,635.0041,1760,731,6,,1339.1997,691.2668,963,556,5,,992.6762,554.6477,1571,432,4,,902.5516,530.0854,2.6455,0.4517,0.0000,0.6943,0,
35,1456,635,4,,1456.3870,635.0038,1755,730,7,,1351.7806,692.4387,982,568,6,,991.9668,555.5349,1686,416,4,,954.6080,522.5050,2.6418,0.4473,0.0000,0.3468,0,
36,,,,,,,,,,,,,,,,,,,1731,410,4,,1002.9813,515.4953,,,,,0,
37,1044,632,6,,1427.0356,634.7900,1162,687,5,,1346.2070,692.2790,985,573,6,,991.5327,556.6231,1732,410,4,,1045.7390,509.3079,2.4928,0.4429,0.0000,,0,
38,785,629,4,,1384.3754,634.4053,790,661,5,,1330.3381,691.3866,982,576,6,,990.9736,557.7595,1709,414,4,,1082.4848,504.0277,2.2767,0.4392,0.0000,12.9678,0,
39,654,635,4,,1338.8692,634.4424,,,,,,,,,,,,,1677,418,4,,1113.6929,499.5118,2.6628,0.7302,0.0000,29.0091,0,
40,603,635,4,,1295.7097,634.4751,428,666,8,,1305.3079,690.6824,873,521,17,,984.4377,555.7230,1643,423,4,,1140.0923,495.6958,1.8007,0.4490,0.0000,,0,
41,608,639,7,,1257.6094,634.7258,240,674,8,,1276.5547,690.2321,803,484,17,,974.9134,551.9580,1613,427,4,,1162.5582,492.4323,1.5626,0.4666,0.0000,14.3262,0,
42,643,646,7,,1225.3465,635.3176,169,680,8,,1247.4468,689.9632,763,463,17,,964.3441,547.5212,1589,430,4,,1181.8980,489.6009,1.3485,0.4858,0.0000,12.9013,0,
43,691,656,8,,1198.6958,636.3491,172,684,8,,1219.9065,689.8105,743,452,17,,953.8290,542.9834,1571,433,4,,1198.7787,487.1453,1.1626,0.5033,0.0000,11.1992,0,
44,742,668,7,,1177.0000,637.8527,213,688,8,,1194.7653,689.7653,738,448,17,,944.0408,538.6757,1558,434,4,,1213.7152,484.9356,1.0052,0.5174,0.0000,9.4826,0,
45,788,681,7,,1159.3583,639.8095,270,690,8,,1172.2375,689.7710,741,449,17,,935.2321,534.7852,1550,435,4,,1227.1397,482.9421,0.8730,0.5270,0.0000,7.9563,0,
46,828,693,8,,1144.9826,642.1171,329,692,8,,1152.1843,689.8240,747,452,17,,927.4054,531.3430,1546,436,4,,1239.3800,481.1401,0.7619,0.5327,0.0000,6.6694,0,
47,860,708,6,,1133.1331,644.8565,380,693,8,,1134.2474,689.8978,756,456,17,,920.5629,528.3353,,,,,,,0.6685,0.5340,0.0000,5.6082,0,
48,884,719,7,,1123.1876,647.8164,421,693,8,,1118.0556,689.9682,763,460,17,,914.5144,525.7121,979,524,4,,1229.7542,482.7246,0.5885,0.5324,0.0000,4.7993,0,
49,903,718,5,,1114.7351,650.5106,452,693,8,,1103.2708,690.0355,770,463,17,,909.1719,523.3937,620,577,5,,1208.0160,486.0856,0.5195,0.5305,0.0000,4.1400,0,
50,919,710,7,,1107.4991,652.7098,472,694,8,,1089.5624,690.1216,775,466,17,,904.3886,521.3476,418,602,6,,1180.8210,490.0757,0.4594,0.5297,0.0000,3.6061,0,
51,932,701,6,,1101.2424,654.4314,485,694,8,,1076.7131,690.2040,779,468,17,,900.0723,519.5112,326,608,5,,1152.3744,494.0000,0.4066,0.5303,0.0000,3.1721,0,
52,941,691,5,,1095.7263,655.6902,492,694,8,,1064.5442,690.2830,781,469,17,,896.1098,517.8303,305,606,6,,1125.0837,497.6071,0.3592,0.5324,0.0000,2.8464,0,
53,949,682,4,,1090.8436,656.5657,495,693,8,,1052.9327,690.3384,783,470,17,,892.4670,516.2899,323,597,5,,1100.0577,500.7083,0.3166,0.5357,0.0000,2.5654,0,
54,954,673,4,,1086.4364,657.0950,,,,,,,,,,,,,359,587,6,,1077.6354,503.3192,1.2204,0.5979,0.0000,,0,
55,964,665,7,,1082.6162,657.3417,536,697,9,,1042.6044,690.4715,784,470,17,,889.0827,514.8456,400,578,6,,1057.7342,505.5125,0.2585,0.5391,0.0000,,0,
56,975,662,8,,1079.3601,657.4826,523,695,5,,1032.4261,690.5602,,,,,,,439,570,6,,1040.0813,507.3524,0.9589,-0.3402,0.0000,,0,
57,985,660,9,,1076.5888,657.5565,509,694,8,,1022.3698,690.6263,,,,,,,470,565,6,,1024.2677,508.9515,0.8948,-0.3409,0.0000,3.8485,0,
58,991,661,5,,1074.1469,657.6548,499,693,7,,1012.5042,690.6711,,,,,,,,,,,,,0.8333,-0.3416,0.0000,3.6925,0,
59,999,661,7,,1072.0624,657.7476,492,693,8,,1002.8742,690.7142,,,,,,,1032,490,5,,1024.4764,508.4399,0.7747,-0.3423,0.0000,3.5146,0,
60,1008,662,7,,1070.3333,657.8623,487,693,8,,993.5032,690.7557,,,,,,,1388,443,5,,1034.0302,506.7201,0.7192,-0.3431,0.0000,3.3304,0,
61,1019,667,6,,1068.9842,658.1025,484,693,8,,984.4130,690.7957,,,,,,,1589,417,5,,1048.2420,504.4225,0.6670,-0.3445,0.0000,3.1329,0,
62,1028,674,6,,1067.9347,658.5096,483,693,7,,975.6240,690.8344,784,470,17,,885.9032,513.4887,1679,406,5,,1063.9913,501.9650,0.1692,0.5400,0.0000,,0,
63,1036,682,4,,1067.1373,659.0961,512,694,6,,967.6374,690.8889,785,470,17,,882.9398,512.2115,,,,,,,0.1504,0.5435,0.0000,1.1471,0,
64,1044,689,5,,1066.5737,659.8246,530,697,6,,960.2261,690.9924,,,,,,,1757,402,4,,1080.8733,499.5298,0.5340,-0.3541,0.0000,,0,
65,1054,696,7,,1066.2747,660.6849,,,,,,,843,569,6,,881.8003,513.8317,1773,405,4,,1097.3329,497.2818,0.1404,0.5274,0.0000,,0,
66,1065,704,6,,1066.2451,661.6911,573,750,8,,953.7777,691.9750,,,,,,,1753,410,4,,1112.5633,495.2544,0.5001,-0.3683,0.0000,,0,
67,1077,717,7,,1066.4892,662.9467,598,782,9,,947.9500,693.4496,,,,,,,1716,416,4,,1126.2622,493.4552,0.4722,-0.3820,0.0000,1.8646,0,
68,1085,732,6,,1066.9001,664.4795,,,,,,,876,645,8,,881.6394,517.4702,1676,422,4,,1138.4650,491.8690,0.1427,0.4903,0.0000,,0,
69,1093,738,6,,1067.4669,666.0760,682,758,5,,943.6640,694.4899,893,695,8,,881.9460,522.2618,1638,426,4,,1149.3127,490.4387,0.1471,0.4583,0.0000,1.9343,0,
70,1109,735,6,,1068.3496,667.5409,730,738,6,,940.2752,695.1800,898,726,8,,882.3679,527.6163,1606,430,4,,1159.0191,489.1541,0.1536,0.4242,0.0000,2.0829,0,
71,1117,724,5,,1069.3621,668.7159,751,725,5,,937.3201,695.6456,896,747,7,,882.7170,533.2343,1582,433,4,,1167.8221,487.9854,0.1604,0.3902,0.0000,2.0784,0,
72,1126,714,4,,1070.5168,669.6391,,,,,,,886,744,5,,882.7990,538.4969,1565,435,4,,1175.9195,486.9052,0.1666,0.3593,0.0000,1.8925,0,
73,,,,,,,681,761,8,,933.3797,696.6503,878,730,8,,882.6821,543.1620,1554,436,4,,1183.4735,485.8881,-0.5197,0.2009,0.0000,,0,
74,1144,706,4,,1071.9850,670.3656,627,784,8,,928.7411,697.9727,868,714,11,,882.3329,547.2247,1547,436,4,,1190.5945,484.9109,0.1716,0.3120,0.0000,,0,
75,1156,699,5,,1073.6308,670.9265,589,798,7,,923.6741,699.4646,861,702,6,,881.8374,550.8200,1544,437,4,,1197.3842,483.9904,0.1773,0.2913,0.0000,1.2937,0,
76,1174,692,4,,1075.5591,671.3314,554,802,5,,918.2417,700.9713,854,683,11,,881.2054,553.8207,1543,436,4,,1203.8992,483.0858,0.1838,0.2742,0.0000,1.0932,0,
77,1186,685,5,,1077.6409,671.5891,534,802,4,,912.6770,702.4345,847,673,9,,880.4462,556.4661,1543,436,4,,1210.1730,482.2146,0.1904,0.2597,0.0000,0.9571,0,
78,1191,681,7,,1079.7382,671.7632,525,801,5,,907.1428,703.8415,839,664,9,,879.5461,558.8013,,,,,,,0.1964,0.2472,0.0000,0.8341,0,
79,1192,680,6,,1081.7775,671.9128,,,,,,,832,662,8,,878.5356,560.9947,904,503,7,,1204.6113,482.5922,0.2016,0.2355,0.0000,0.7677,0,
80,1190,680,5,,1083.7083,672.0571,603,758,8,,902.8621,704.6038,834,657,8,,877.6087,562.9927,504,545,7,,1192.1115,483.7056,0.2066,0.2248,0.0000,0.7098,0,
81,1185,680,5,,1085.4838,672.1963,,,,,,,834,654,6,,876.7197,564.8481,286,567,7,,1176.2287,485.1656,0.2110,0.2148,0.0000,0.6548,0,
82,,,,,,,651,730,8,,899.3664,704.9563,,,,,,,194,575,7,,1159.3084,486.7132,0.6934,0.4417,0.0000,31.9829,0,
83,,,,,,,683,711,7,,896.4045,705.0390,820,646,5,,875.5864,566.4695,182,575,7,,1142.7578,488.2083,-0.7400,0.0425,0.0000,,0,
84,,,,,,,,,,,,,811,641,5,,874.3213,567.9295,215,571,7,,1127.3081,489.5870,0.4081,1.1124,0.0000,,0,
85,,,,,,,586,688,10,,892.2127,704.8089,803,638,5,,872.9510,569.2757,266,564,7,,1113.1998,490.8059,-0.7742,0.0296,0.0000,,0,
86,,,,,,,522,677,10,,887.2798,704.4384,797,635,4,,871.5193,570.5146,323,556,6,,1100.4649,491.8566,-0.8060,0.0252,0.0000,1.9271,0,
87,,,,,,,500,681,9,,882.1874,704.1302,791,631,4,,870.0296,571.6337,375,549,6,,1088.9588,492.7629,-0.8389,0.0212,0.0000,1.9896,0,
