frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
1,,,,1002,616,4,1007,682,8,757,574,6
2,,,,,,,1007,682,7,757,574,6
3,,,,1002,616,16,1006,681,6,,,
4,,,,,,,1006,678,8,,,
5,,,,,,,1006,672,7,,,
6,,,,1022,619,9,1006,663,7,,,
7,,,,1094,632,9,1007,655,6,,,
8,,,,,,,1008,650,7,757,573,5
9,,,,1262,665,4,1010,650,6,757,570,5
10,,,,,,,1012,652,6,758,563,5
11,,,,1486,715,6,1013,654,6,759,555,6
12,,,,,,,1015,656,6,758,547,8
13,,,,,,,1016,658,6,754,542,4
14,,,,1226,610,16,1017,659,6,752,539,4
15,,,,992,522,16,1018,660,6,754,539,9
16,,,,,,,1018,659,6,,,
17,,,,,,,1018,658,6,,,
18,,,,,,,1018,658,6,756,537,6
19,,,,,,,1020,658,6,,,
20,,,,,,,1020,657,4,,,
21,1457,636,4,,,,,,,1161,477,5
22,,,,830,464,17,1455,700,5,,,
23,1457,636,4,735,433,17,1728,726,5,,,
24,1457,636,4,,,,1879,741,5,,,
25,1457,635,4,,,,1945,747,5,,,
26,1457,635,4,,,,1958,749,5,,,
27,1457,635,4,,,,1937,747,6,,,
28,1456,635,4,690,421,17,1904,744,6,,,
29,1456,634,4,,,,1867,740,6,,,
30,1456,634,4,,,,1834,737,5,,,
31,1456,635,4,793,468,4,1807,735,5,996,510,4
32,1456,635,4,873,506,6,1785,733,6,,,
33,1456,635,4,929,535,6,1771,731,6,1353,461,4
34,1456,635,4,963,556,5,1760,731,6,1571,432,4
35,1456,635,4,982,568,6,1755,730,7,1686,416,4
36,,,,,,,,,,1731,410,4
37,1044,632,6,985,573,6,1162,687,5,1732,410,4
38,785,629,4,982,576,6,790,661,5,1709,414,4
39,654,635,4,,,,,,,1677,418,4
40,603,635,4,873,521,17,428,666,8,1643,423,4
41,608,639,7,803,484,17,240,674,8,1613,427,4
42,643,646,7,763,463,17,169,680,8,1589,430,4
43,691,656,8,743,452,17,172,684,8,1571,433,4
44,742,668,7,738,448,17,213,688,8,1558,434,4
45,788,681,7,741,449,17,270,690,8,1550,435,4
46,828,693,8,747,452,17,329,692,8,1546,436,4
47,860,708,6,756,456,17,380,693,8,,,
48,884,719,7,763,460,17,421,693,8,979,524,4
49,903,718,5,770,463,17,452,693,8,620,577,5
50,919,710,7,775,466,17,472,694,8,418,602,6
51,932,701,6,779,468,17,485,694,8,326,608,5
52,941,691,5,781,469,17,492,694,8,305,606,6
53,949,682,4,783,470,17,495,693,8,323,597,5
54,954,673,4,,,,,,,359,587,6
55,964,665,7,784,470,17,536,697,9,400,578,6
56,975,662,8,,,,523,695,5,439,570,6
57,985,660,9,,,,509,694,8,470,565,6
58,991,661,5,,,,499,693,7,,,
59,999,661,7,,,,492,693,8,1032,490,5
60,1008,662,7,,,,487,693,8,1388,443,5
61,1019,667,6,,,,484,693,8,1589,417,5
62,1028,674,6,784,470,17,483,693,7,1679,406,5
63,1036,682,4,785,470,17,512,694,6,,,
64,1044,689,5,,,,530,697,6,1757,402,4
65,1054,696,7,843,569,6,,,,1773,405,4
66,1065,704,6,,,,573,750,8,1753,410,4
67,1077,717,7,,,,598,782,9,1716,416,4
68,1085,732,6,876,645,8,,,,1676,422,4
69,1093,738,6,893,695,8,682,758,5,1638,426,4
70,1109,735,6,898,726,8,730,738,6,1606,430,4
71,1117,724,5,896,747,7,751,725,5,1582,433,4
72,1126,714,4,886,744,5,,,,1565,435,4
73,,,,878,730,8,681,761,8,1554,436,4
74,1144,706,4,868,714,11,627,784,8,1547,436,4
75,1156,699,5,861,702,6,589,798,7,1544,437,4
76,1174,692,4,854,683,11,554,802,5,1543,436,4
77,1186,685,5,847,673,9,534,802,4,1543,436,4
78,1191,681,7,839,664,9,525,801,5,,,
79,1192,680,6,832,662,8,,,,904,503,7
80,1190,680,5,834,657,8,603,758,8,504,545,7
